Time,TempSHT,TempBMP,Humidity,Pressure,Altitude
2025-03-31 10:17:12,17.38,16.99,43.26,102620.00,N/A
2025-03-31 10:18:13,17.43,17.02,44.26,102625.00,N/A
2025-03-31 10:19:14,17.49,17.08,45.21,102623.00,N/A
2025-03-31 10:20:14,17.49,17.10,45.22,102624.00,N/A
2025-03-31 10:21:14,17.50,17.10,45.17,102623.00,N/A
2025-03-31 10:22:15,17.53,17.10,45.17,102625.00,N/A
2025-03-31 10:23:16,17.47,17.10,45.13,102623.00,N/A
2025-03-31 10:24:16,17.50,17.09,45.24,102622.00,N/A
2025-03-31 10:25:17,17.46,17.08,45.50,102623.00,N/A
2025-03-31 10:26:18,17.48,17.08,45.58,102627.00,N/A
2025-03-31 10:27:19,17.46,17.07,45.95,102632.00,N/A
2025-03-31 10:28:19,17.48,17.07,45.99,102636.00,N/A
2025-03-31 10:29:20,17.46,17.07,46.06,102642.00,N/A
2025-03-31 10:30:21,17.43,17.06,46.12,102638.00,N/A
2025-03-31 10:31:22,17.45,17.05,46.36,102634.00,N/A
2025-03-31 10:32:23,17.43,17.04,46.53,102633.00,N/A
2025-03-31 10:33:24,17.41,17.03,46.23,102629.00,N/A
2025-03-31 10:34:24,17.43,17.02,46.34,102627.00,N/A
2025-03-31 10:35:24,17.40,17.02,46.45,102626.00,N/A
2025-03-31 10:36:25,17.41,17.01,46.64,102625.00,N/A
2025-03-31 10:37:26,17.41,17.01,46.49,102625.00,N/A
2025-03-31 10:38:26,17.42,17.01,46.63,102625.00,N/A
2025-03-31 10:39:26,17.41,17.01,46.87,102632.00,N/A
2025-03-31 10:40:27,17.41,17.01,46.74,102631.00,N/A
2025-03-31 10:41:28,17.40,17.01,46.78,102633.00,N/A
2025-03-31 10:42:29,17.42,17.01,46.90,102628.00,N/A
2025-03-31 10:43:30,17.41,17.00,46.97,102625.00,N/A
2025-03-31 10:44:30,17.38,17.00,46.95,102619.00,N/A
2025-03-31 10:45:30,17.39,17.00,47.03,102616.00,N/A
2025-03-31 10:46:31,17.41,17.00,47.07,102613.00,N/A
2025-03-31 10:47:31,17.42,17.00,47.23,102617.00,N/A
2025-03-31 10:48:32,17.39,17.00,47.07,102621.00,N/A
2025-03-31 10:49:33,17.40,17.00,47.02,102626.00,N/A
2025-03-31 10:50:33,17.39,17.00,47.06,102628.00,N/A
2025-03-31 10:51:34,17.38,17.00,47.13,102627.00,N/A
2025-03-31 10:52:34,17.40,17.00,47.32,102629.00,N/A
2025-03-31 10:53:35,17.39,17.00,47.21,102629.00,N/A
2025-03-31 10:54:36,17.40,16.99,47.17,102625.00,N/A
2025-03-31 10:55:36,17.38,16.99,47.32,102627.00,N/A
2025-03-31 10:56:36,17.41,16.98,47.32,102630.00,N/A
2025-03-31 10:57:37,17.40,16.98,47.50,102626.00,N/A
2025-03-31 10:58:38,17.38,16.98,47.44,102624.00,N/A
2025-03-31 10:59:38,17.39,16.98,47.40,102621.00,N/A
2025-03-31 11:00:39,17.38,16.97,47.47,102616.00,N/A
2025-03-31 11:01:40,17.37,16.97,47.48,102612.00,N/A
2025-03-31 11:02:40,17.36,16.97,47.48,102611.00,N/A
2025-03-31 11:03:41,17.36,16.97,47.66,102611.00,N/A
2025-03-31 11:04:42,17.37,16.97,47.59,102609.00,N/A
2025-03-31 11:05:43,17.38,16.97,47.55,102603.00,N/A
2025-03-31 11:06:43,17.37,16.97,47.62,102602.00,N/A
2025-03-31 11:07:43,17.37,16.97,47.84,102602.00,N/A
2025-03-31 11:08:44,17.35,16.97,47.69,102604.00,N/A
2025-03-31 11:09:45,17.37,16.98,47.58,102610.00,N/A
2025-03-31 11:10:46,17.38,16.98,47.78,102611.00,N/A
2025-03-31 11:11:45,17.39,16.98,47.69,102611.00,N/A
2025-03-31 11:12:46,17.39,16.98,47.62,102612.00,N/A
2025-03-31 11:13:47,17.40,16.99,47.63,102614.00,N/A
2025-03-31 11:14:48,17.39,16.99,47.60,102608.00,N/A
2025-03-31 11:15:49,17.42,17.00,47.76,102604.00,N/A
2025-03-31 11:16:49,17.41,17.01,47.79,102608.00,N/A
2025-03-31 11:17:50,17.41,17.01,47.78,102610.00,N/A
2025-03-31 11:18:50,17.41,17.01,47.81,102613.00,N/A
2025-03-31 11:19:51,17.40,17.02,47.72,102612.00,N/A
2025-03-31 11:20:52,17.41,17.01,47.75,102607.00,N/A
2025-03-31 11:21:52,17.42,17.01,47.97,102605.00,N/A
2025-03-31 11:22:53,17.40,17.01,48.00,102604.00,N/A
2025-03-31 11:23:54,17.38,17.00,47.95,102597.00,N/A
2025-03-31 11:24:55,17.41,17.00,47.95,102594.00,N/A
2025-03-31 11:25:55,17.38,16.99,47.80,102591.00,N/A
2025-03-31 11:26:55,17.39,16.99,47.90,102590.00,N/A
2025-03-31 11:27:56,17.40,16.99,48.19,102593.00,N/A
2025-03-31 11:28:57,17.40,16.99,47.99,102600.00,N/A
2025-03-31 11:29:58,17.37,16.99,48.02,102602.00,N/A
2025-03-31 11:30:59,17.38,16.99,48.14,102601.00,N/A
2025-03-31 11:31:59,17.41,16.99,48.20,102599.00,N/A
2025-03-31 11:33:00,17.40,16.99,47.94,102597.00,N/A
2025-03-31 11:34:01,17.38,16.99,48.00,102596.00,N/A
2025-03-31 11:35:02,17.39,16.99,48.10,102597.00,N/A
2025-03-31 11:36:03,17.36,16.99,48.18,102597.00,N/A
2025-03-31 11:37:04,17.39,16.99,48.14,102600.00,N/A
2025-03-31 11:38:04,17.39,16.98,47.92,102600.00,N/A
2025-03-31 11:39:05,17.38,16.98,48.12,102600.00,N/A
2025-03-31 11:40:06,17.37,16.97,48.02,102601.00,N/A
2025-03-31 11:41:06,17.36,16.97,48.13,102596.00,N/A
2025-03-31 11:42:07,17.38,16.97,48.03,102596.00,N/A
2025-03-31 11:43:08,17.38,16.97,48.11,102596.00,N/A
2025-03-31 11:44:08,17.39,16.97,48.30,102595.00,N/A
2025-03-31 11:45:09,17.36,16.97,48.05,102594.00,N/A
2025-03-31 11:46:09,17.38,16.97,48.32,102591.00,N/A
2025-03-31 11:47:09,17.38,16.98,48.28,102585.00,N/A
2025-03-31 11:48:09,17.38,16.97,48.27,102588.00,N/A
2025-03-31 11:49:09,17.37,16.97,48.16,102591.00,N/A
2025-03-31 11:50:09,17.36,16.96,48.12,102592.00,N/A
2025-03-31 11:51:10,17.36,16.96,48.14,102591.00,N/A
2025-03-31 11:52:10,17.37,16.96,48.10,102591.00,N/A
2025-03-31 11:53:11,17.36,16.96,48.24,102590.00,N/A
2025-03-31 11:54:11,17.34,16.96,48.44,102587.00,N/A
2025-03-31 11:55:12,17.35,16.96,48.20,102586.00,N/A
2025-03-31 11:56:12,17.38,16.97,48.30,102588.00,N/A
2025-03-31 11:57:13,17.37,16.98,48.31,102594.00,N/A
2025-03-31 11:58:13,17.40,16.99,48.18,102599.00,N/A
2025-03-31 11:59:14,17.39,16.99,48.25,102599.00,N/A
